createDate,location,"cl_topic.langfre","keywordType-.langfre","keywordType-discipline.langfre","keywordType-place.langfre","keywordType-stratum.langfre","keywordType-temporal.langfre","keywordType-theme.langfre","tag.langfre","th_AGROVOC.langfre","th_anaee-france_locations.langfre","th_anaeeThes.langfre","th_Autre.langfre","th_Biodiversite.langfre","th_ENVTHES.langfre","th_external-place-departements.langfre","th_external-place-ore.langfre","th_external-theme-gemet.langfre","th_gemet-en-fr-de-nl-it-es.langfre","th_gemet-fr-en-pt-es_4-1-4.langfre","th_gemet.langfre","th_GEMETinspirethemes-version1-0.langfre","th_geobretagne.langfre","th_Groupthemes.langfre","th_httpinspireeceuropaeuapplicationschema-applicationschema.langfre","th_httpinspireeceuropaeutheme-theme.langfre","th_inspire-service-taxonomy.langfre","th_INSPIRE.langfre","th_INSPIREMetadataRegulation12052008EC.langfre","th_INSPIREthemes.langfre","th_loterre-BHL.langfre","th_OPENDATA.langfre","th_otherKeywords-.langfre","th_otherKeywords-discipline.langfre","th_otherKeywords-place.langfre","th_otherKeywords-stratum.langfre","th_otherKeywords-temporal.langfre","th_otherKeywords-theme.langfre","th_prodige.langfre","th_RegionFR_2017.langfre","th_RegionFR.langfre","th_regions.langfre","th_reseaudeszonesateliers.langfre","th_rza.langfre","th_variableAnaEE.langfre","th_VariableAnaEE.langfre"
"Jul 29, 2020 @ 10:02:27.000","{
  ""coordinates"": [
    -3.9334914999999997,
    48.5359735
  ],
  ""type"": ""Point""
}","Agriculture, Environnement, Localisation","-","-","France, Bretagne","-","-","estuaire, agriculture, bassin versant, qualité de l'eau, environnement bâti, Usage des sols","France, estuaire, agriculture, bassin versant, qualité de l'eau, environnement bâti, Usage des sols, Bretagne","-","-","-","-","-","-","-","-","-","-","-","estuaire, agriculture, bassin versant, qualité de l'eau, environnement bâti","-","-","-","-","Usage des sols","-","-","-","-","-","-","-","-","-","-","-","-","-",Bretagne,"-",France,"-","-","-","-"
"Jul 29, 2020 @ 09:58:32.000","{
  ""coordinates"": [
    -4.024803,
    48.625690500000005
  ],
  ""type"": ""Point""
}","Agriculture, Environnement, Localisation","-","-","France, Bretagne","-","-","environnement bâti, estuaire, agriculture, bassin versant, qualité de l'eau, Usage des sols","France, environnement bâti, estuaire, agriculture, bassin versant, qualité de l'eau, Usage des sols, Bretagne","-","-","-","-","-","-","-","-","-","-","-","environnement bâti, estuaire, agriculture, bassin versant, qualité de l'eau","-","-","-","-","Usage des sols","-","-","-","-","-","-","-","-","-","-","-","-","-",Bretagne,"-",France,"-","-","-","-"
"Jul 29, 2020 @ 09:32:11.000","{
  ""coordinates"": [
    2.0396555000000003,
    50.4430975
  ],
  ""type"": ""Point""
}","Agriculture, Environnement, Localisation","-","-","France, Hauts-de-France","-","-","environnement bâti, estuaire, agriculture, bassin versant, qualité de l'eau, Usage des sols","France, environnement bâti, estuaire, agriculture, bassin versant, qualité de l'eau, Usage des sols, Hauts-de-France","-","-","-","-","-","-","-","-","-","-","-","environnement bâti, estuaire, agriculture, bassin versant, qualité de l'eau","-","-","-","-","Usage des sols","-","-","-","-","-","-","-","-","-","-","-","-","-","Hauts-de-France","-",France,"-","-","-","-"
"Jul 28, 2020 @ 19:11:28.000","{
  ""coordinates"": [
    -2.652787,
    47.694715
  ],
  ""type"": ""Point""
}",Agriculture,"-","-","France, Bretagne","-","-","estuaire, qualité de l'eau, agriculture, bassin versant, Usage des sols","France, estuaire, qualité de l'eau, agriculture, bassin versant, Usage des sols, Bretagne","-","-","-","-","-","-","-","-","-","-","-","estuaire, qualité de l'eau, agriculture, bassin versant","-","-","-","-","Usage des sols","-","-","-","-","-","-","-","-","-","-","-","-","-",Bretagne,"-",France,"-","-","-","-"
"Jul 28, 2020 @ 19:04:25.000","{
  ""coordinates"": [
    -3.3356255,
    47.964127500000004
  ],
  ""type"": ""Point""
}",Agriculture,"-","-","France, Bretagne","-","-","estuaire, agriculture, qualité de l'eau, bassin versant, Usage des sols","France, estuaire, agriculture, qualité de l'eau, bassin versant, Usage des sols, Bretagne","-","-","-","-","-","-","-","-","-","-","-","estuaire, agriculture, qualité de l'eau, bassin versant","-","-","-","-","Usage des sols","-","-","-","-","-","-","-","-","-","-","-","-","-",Bretagne,"-",France,"-","-","-","-"
"Jul 28, 2020 @ 18:59:32.000","{
  ""coordinates"": [
    -3.769379,
    47.941216999999995
  ],
  ""type"": ""Point""
}",Agriculture,"-","-","France, Bretagne","-","-","estuaire, agriculture, bassin versant, qualité de l'eau, Usage des sols","France, estuaire, agriculture, bassin versant, qualité de l'eau, Usage des sols, Bretagne","-","-","-","-","-","-","-","-","-","-","-","estuaire, agriculture, bassin versant, qualité de l'eau","-","-","-","-","Usage des sols","-","-","-","-","-","-","-","-","-","-","-","-","-",Bretagne,"-",France,"-","-","-","-"
"Jul 28, 2020 @ 18:29:07.000","{
  ""coordinates"": [
    2.0529075,
    50.443247
  ],
  ""type"": ""Point""
}",Agriculture,"-","-","France, Hauts-de-France","-","-","qualité de l'eau, agriculture, estuaire, bassin versant, Usage des sols","France, qualité de l'eau, agriculture, estuaire, bassin versant, Usage des sols, Hauts-de-France","-","-","-","-","-","-","-","-","-","-","-","qualité de l'eau, agriculture, estuaire, bassin versant","-","-","-","-","Usage des sols","-","-","-","-","-","-","-","-","-","-","-","-","-","Hauts-de-France","-",France,"-","-","-","-"
"Jul 28, 2020 @ 18:04:12.000","{
  ""coordinates"": [
    -4.025909,
    48.6242845
  ],
  ""type"": ""Point""
}",Agriculture,"-","-","France, Bretagne","-","-","estuaire, agriculture, bassin versant, qualité de l'eau, Usage des sols","France, estuaire, agriculture, bassin versant, qualité de l'eau, Usage des sols, Bretagne","-","-","-","-","-","-","-","-","-","-","-","estuaire, agriculture, bassin versant, qualité de l'eau","-","-","-","-","Usage des sols","-","-","-","-","-","-","-","-","-","-","-","-","-",Bretagne,"-",France,"-","-","-","-"
"Jul 24, 2020 @ 16:37:22.000","{
  ""coordinates"": [
    6.5,
    44.5
  ],
  ""type"": ""Point""
}",Environnement,alpage,"Territoires, SISTEM, TRACES, LESSEM","-","-","-","OBS - Observations de terrain (relevés, photos, imagerie satellite, film ...), TMPS - Séries temporelles (cohortes + séries chrono + mesures répétées), ENQ - Enquêtes (socio éco, épidémiologie, zootechnie, pratiques culturales...), Usage des sols, pastoralisme, pratique pastorale","alpage, OBS - Observations de terrain (relevés, photos, imagerie satellite, film ...), TMPS - Séries temporelles (cohortes + séries chrono + mesures répétées), ENQ - Enquêtes (socio éco, épidémiologie, zootechnie, pratiques culturales...), Usage des sols, Territoires, SISTEM, TRACES, LESSEM, pastoralisme, pratique pastorale","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Usage des sols","-","-","-","-","-","-",alpage,"-","-","-","-","-","-","-","-","-","-","-","-","-"
"Jul 13, 2020 @ 12:03:36.000","{
  ""coordinates"": [
    -5.020125999999999,
    48.4973425
  ],
  ""type"": ""Point""
}","Sciences de la terre, géosciences","-","SMF, bathymétrie, plage","Iroise, Finistère, BRETAGNE, France","-","1816 - Aujourd'hui","Altitude, Hydrographie","SMF, bathymétrie, plage, Iroise, Finistère, BRETAGNE, France, 1816 - Aujourd'hui, Altitude, Hydrographie","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Altitude, Hydrographie","-","-","-","-","-","-","-","SMF, bathymétrie, plage","Iroise, Finistère, BRETAGNE, France","-","1816 - Aujourd'hui","-","-","-","-","-","-","-","-","-"
"Jul 8, 2020 @ 14:14:17.000","{
  ""coordinates"": [
    -3.9338045,
    48.538373
  ],
  ""type"": ""Point""
}",Agriculture,"-","-","France, Bretagne","-","-","agriculture, qualité de l'eau, estuaire, bassin versant, Usage des sols","France, agriculture, qualité de l'eau, estuaire, bassin versant, Usage des sols, Bretagne","-","-","-","-","-","-","-","-","-","-","-","agriculture, qualité de l'eau, estuaire, bassin versant","-","-","-","-","Usage des sols","-","-","-","-","-","-","-","-","-","-","-","-","-",Bretagne,"-",France,"-","-","-","-"
"Jul 8, 2020 @ 14:11:34.000","{
  ""coordinates"": [
    1.88597,
    46.227999999999994
  ],
  ""type"": ""Point""
}",Agriculture,"-","-",Bretagne,"-","-","agriculture, qualité de l'eau, bassin versant, estuaire, Usage des sols","agriculture, qualité de l'eau, bassin versant, estuaire, Usage des sols, Bretagne","-","-","-","-","-","-","-","-","-","-","-","agriculture, qualité de l'eau, bassin versant, estuaire","-","-","-","-","Usage des sols","-","-","-","-","-","-","-","-","-","-","-","-","-",Bretagne,"-","-","-","-","-","-"
"Jun 18, 2020 @ 21:02:25.000","{
  ""coordinates"": [
    -1.474282,
    47.8420415
  ],
  ""type"": ""Point""
}",Environnement,"végétation","-","-","-","-","données ouvertes, Zone Atelier Armorique ZAAr, Répartition des espèces, Habitats et biotopes","végétation, données ouvertes, Zone Atelier Armorique ZAAr, Répartition des espèces, Habitats et biotopes","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Répartition des espèces, Habitats et biotopes","-","-","-","-","-","-","végétation","-","-","-","-","données ouvertes, Zone Atelier Armorique ZAAr","-","-","-","-","-","-","-","-"
"Jun 4, 2020 @ 15:57:59.000","{
  ""coordinates"": [
    -3.416748,
    48.051453
  ],
  ""type"": ""Point""
}","Limites politiques et administratives","données ouvertes","-","Caractéristiques géographiques météorologiques, Hydrographie, Naizin, Kerbernez","-","-","-","données ouvertes, Caractéristiques géographiques météorologiques, Hydrographie, Naizin, Kerbernez","-","-","-","-","-","-","-","Naizin, Kerbernez","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","données ouvertes","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Jun 4, 2020 @ 15:48:59.000","{
  ""coordinates"": [
    -2.8283,
    48.0014715
  ],
  ""type"": ""Point""
}","Limites politiques et administratives","données ouvertes","-",Naizin,"-","-",Sols,"données ouvertes, Sols, Naizin","-","-","-","-","-","-","-",Naizin,"-","-","-","-","-","-","-","-",Sols,"-","-","-","-","-","-","données ouvertes","-","-","-","-","-","-","-","-","-","-","-","-","-"
"May 11, 2020 @ 08:47:52.000","{
  ""coordinates"": [
    -1.6322025,
    47.964663
  ],
  ""type"": ""Point""
}","Environnement, Biologie, faune et flore, Sciences de la terre, géosciences","-",agronomie,"Zone Atelier Armorique ZAAr","-","-","enquêtes, pratiques agricoles, itinéraire technique, Installations agricoles et aquacoles, Habitats et biotopes, Usage des sols, Répartition des espèces, écologie scientifique","agronomie, Zone Atelier Armorique ZAAr, enquêtes, pratiques agricoles, itinéraire technique, Installations agricoles et aquacoles, Habitats et biotopes, Usage des sols, Répartition des espèces, écologie scientifique","-","-","-","-","-","-","-","-","-","-","-","écologie scientifique","-","-","-","-","Installations agricoles et aquacoles, Habitats et biotopes, Usage des sols, Répartition des espèces","-","-","-","-","-","-","-",agronomie,"Zone Atelier Armorique ZAAr","-","-","enquêtes, pratiques agricoles, itinéraire technique","-","-","-","-","-","-","-","-"
"Mar 20, 2020 @ 17:48:36.000","{
  ""coordinates"": [
    1.150127,
    44.6244805
  ],
  ""type"": ""Point""
}","-","-","-","-","-","-","-","Castanea crenata, Castanea sativa, double fin, production mixte, multifonctionnalité, vergers, taille fruitière, croissance ligneuse, France, Lot (46)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Feb 28, 2020 @ 14:13:03.000","{
  ""coordinates"": [
    -3.5205450000000003,
    48.15035
  ],
  ""type"": ""Point""
}","Limites politiques et administratives","données ouvertes","-","-","-","-","limites administratives et découpage des territoires : autres, activité économique : agriculture et élevage, Répartition des espèces","données ouvertes, limites administratives et découpage des territoires : autres, activité économique : agriculture et élevage, Répartition des espèces","-","-","-","-","-","-","-","-","-","-","-","-","-","limites administratives et découpage des territoires : autres, activité économique : agriculture et élevage","-","-","Répartition des espèces","-","-","-","-","-","-","données ouvertes","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Feb 27, 2020 @ 17:04:09.000","{
  ""coordinates"": [
    6.2649755,
    44.745237
  ],
  ""type"": ""Point""
}","Climatologie, météorologie, atmosphère, Environnement, Société, Biologie, faune et flore","-","Sentinelles des Alpes, CDP Trajectories, Labex ITEM, ZAA, Zone Atelier Alpes","Ecrins, Alpes, France","-","-","expérience refuge, biodiversite, activites de montagne, frequentation milieu ouvert, pratique récréative, changement de pratiques, changement climatique","Sentinelles des Alpes, CDP Trajectories, Labex ITEM, ZAA, Zone Atelier Alpes, Ecrins, Alpes, France, expérience refuge, biodiversite, activites de montagne, frequentation milieu ouvert, pratique récréative, changement de pratiques, changement climatique","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Sentinelles des Alpes, CDP Trajectories, Labex ITEM, ZAA, Zone Atelier Alpes","Ecrins, Alpes, France","-","-","expérience refuge, biodiversite, activites de montagne, frequentation milieu ouvert, pratique récréative, changement de pratiques, changement climatique","-","-","-","-","-","-","-","-"
"Feb 26, 2020 @ 16:23:45.000","{
  ""coordinates"": [
    -2.988201,
    48.0980785
  ],
  ""type"": ""Point""
}","Limites politiques et administratives","-","-","France métropolitaine","-","-","banque hydro, Hydrographie","France métropolitaine, banque hydro, Hydrographie","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",Hydrographie,"-","-","-","-","-","-","-","-","France métropolitaine","-","-","banque hydro","-","-","-","-","-","-","-","-"
"Feb 26, 2020 @ 15:37:42.000","{
  ""coordinates"": [
    -1.81409,
    48.094106999999994
  ],
  ""type"": ""Point""
}",Environnement,"données ouvertes","-","Caractéristiques géographiques météorologiques, Hydrographie, Efele, Pro","-","-","-","données ouvertes, Caractéristiques géographiques météorologiques, Hydrographie, Efele, Pro","-","-","-","-","-","-","-","Efele, Pro","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","données ouvertes","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Feb 26, 2020 @ 15:26:03.000","{
  ""coordinates"": [
    -3.21411,
    48.021950000000004
  ],
  ""type"": ""Point""
}","Limites politiques et administratives","données ouvertes","-","Sols, Bretagne","-","-","Hydrologie, Pédologie","données ouvertes, Hydrologie, Pédologie, Sols, Bretagne","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","données ouvertes","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Feb 18, 2020 @ 15:34:11.000","{
  ""coordinates"": [
    -1.5631300000000001,
    48.498330499999994
  ],
  ""type"": ""Point""
}","Sciences de la terre, géosciences","données ouvertes","-","Caractéristiques géographiques météorologiques, Hydrographie","-","-","-","données ouvertes, Caractéristiques géographiques météorologiques, Hydrographie","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","données ouvertes","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Feb 14, 2020 @ 11:27:31.000","{
  ""coordinates"": [
    5.1380485,
    44.731353999999996
  ],
  ""type"": ""Point""
}","Carte de référence de la couverture terrestre, Altimétrie","-","-","Rhône, OHM VR, OSR, RhônEco, Cours du Rhône français","-","-","Archive topographique, Images aériennes, Archive cartographique, Occupation des terres, Altitude","Rhône, OHM VR, OSR, RhônEco, Archive topographique, Images aériennes, Archive cartographique, Occupation des terres, Altitude, Cours du Rhône français","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Occupation des terres, Altitude","-","-","-","-","-","-","-","-","Rhône, OHM VR, OSR, RhônEco","-","-","Archive topographique, Images aériennes, Archive cartographique","-","-","-","-","-","-","-","-"
"Feb 14, 2020 @ 11:08:12.000","{
  ""coordinates"": [
    5.79,
    45.838
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","-","Anglefort à Massignieu-de-Rives","-","-","Rhône, OHM VR, OSR, Archive cartographique, Occupation des terres","Rhône, OHM VR, OSR, Archive cartographique, Occupation des terres, Anglefort à Massignieu-de-Rives","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Occupation des terres","-","-","-","-","-","-","-","-","-","-","-","Rhône, OHM VR, OSR, Archive cartographique","-","-","-","-","-","-","-","-"
"Feb 14, 2020 @ 10:59:36.000","{
  ""coordinates"": [
    4.771551499999999,
    44.959360000000004
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","-","Rhône, OHM VR, OSR, Pierre-Bénite à Donzère-Mondragon.","-","-","Archive cartographique, Occupation des terres","Rhône, OHM VR, OSR, Archive cartographique, Occupation des terres, Pierre-Bénite à Donzère-Mondragon.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Occupation des terres","-","-","-","-","-","-","-","-","Rhône, OHM VR, OSR","-","-","Archive cartographique","-","-","-","-","-","-","-","-"
"Feb 13, 2020 @ 11:53:43.000","{
  ""coordinates"": [
    -63.8605165,
    59.662272
  ],
  ""type"": ""Point""
}","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Feb 13, 2020 @ 11:43:44.000","{
  ""coordinates"": [
    -63.8605165,
    59.662272
  ],
  ""type"": ""Point""
}","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Feb 11, 2020 @ 16:11:56.000","{
  ""coordinates"": [
    -63.8605165,
    59.662272
  ],
  ""type"": ""Point""
}","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Feb 4, 2020 @ 13:54:09.000","{
  ""coordinates"": [
    2.1193400000000002,
    48.98287
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","-","Seine: secteur de Conflans-Sainte-Honorine","-","-","carte de navigation, occupation des sols","carte de navigation, occupation des sols, Seine: secteur de Conflans-Sainte-Honorine","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Feb 4, 2020 @ 13:43:19.000","{
  ""coordinates"": [
    1.466105,
    49.10361
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","-","Tracé de la Basse Seine au niveau de Vernon.","-","-","carte de navigation, occupation des sols","carte de navigation, occupation des sols, Tracé de la Basse Seine au niveau de Vernon.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Feb 4, 2020 @ 13:40:09.000","{
  ""coordinates"": [
    1.04331,
    49.33052
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","-","Seine: secteur de Cléon.","-","-","carte de navigation, occupation des sols","carte de navigation, occupation des sols, Seine: secteur de Cléon.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Feb 4, 2020 @ 13:37:29.000","{
  ""coordinates"": [
    1.5854249999999999,
    49.042815000000004
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","-","Seine: le secteur de Bonnières","-","-","carte de navigation, occupation des sols","carte de navigation, occupation des sols, Seine: le secteur de Bonnières","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Feb 4, 2020 @ 13:34:20.000","{
  ""coordinates"": [
    1.194175,
    49.30233
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","-","Seine: Le Manoir et Les Damps.","-","-","carte historique, navigation","carte historique, navigation, Seine: Le Manoir et Les Damps.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Feb 4, 2020 @ 13:14:12.000","{
  ""coordinates"": [
    2.5154195,
    48.57123
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","-","De Seine-Port au Plessis-Chenet.","-","-","carte historique, plan","carte historique, plan, De Seine-Port au Plessis-Chenet.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Feb 4, 2020 @ 13:05:01.000","{
  ""coordinates"": [
    2.15355,
    48.87673
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","-",Croissy,"-","-","carte de navigation, chemin de halage","carte de navigation, chemin de halage, Croissy","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Feb 4, 2020 @ 12:59:22.000","{
  ""coordinates"": [
    2.39792,
    48.828395
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","-","Entre Charenton et Paris","-","-","aménagement technique de l'eau, quartier de Paris, plan","aménagement technique de l'eau, quartier de Paris, plan, Entre Charenton et Paris","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Feb 4, 2020 @ 12:25:14.000","{
  ""coordinates"": [
    2.36781,
    48.845025
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","-","Paris, port de la Râpée","-","-","carte de navigation, aménagement technique de l'eau","carte de navigation, aménagement technique de l'eau, Paris, port de la Râpée","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Feb 4, 2020 @ 12:21:19.000","{
  ""coordinates"": [
    2.81818,
    48.91632
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","-","De Chessy à Meaux","-","-","carte de navigation, canal","carte de navigation, canal, De Chessy à Meaux","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Feb 4, 2020 @ 12:18:10.000","{
  ""coordinates"": [
    2.9555995,
    48.974689999999995
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","-","De Meaux à St-Jean-les-Deux-Jumeaux","-","-","carte de navigation, canal","carte de navigation, canal, De Meaux à St-Jean-les-Deux-Jumeaux","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Feb 3, 2020 @ 14:12:01.000","{
  ""coordinates"": [
    1.83303,
    49.037305
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","-","Cours de la Seine de Paris aux Andelys","-","-","aménagement technique de l'eau, plan","aménagement technique de l'eau, plan, Cours de la Seine de Paris aux Andelys","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Feb 3, 2020 @ 14:08:57.000","{
  ""coordinates"": [
    2.12155,
    48.922255
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","-","Seine : Le secteur du Mesnil-du-Roi","-","-","navigation, carte historique, voies sur berge","navigation, carte historique, voies sur berge, Seine : Le secteur du Mesnil-du-Roi","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Feb 3, 2020 @ 14:06:14.000","{
  ""coordinates"": [
    2.349933,
    48.853865
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","-","Paris : Notre Dame","-","-","quartier de Paris, plan","quartier de Paris, plan, Paris : Notre Dame","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Feb 3, 2020 @ 14:03:31.000","{
  ""coordinates"": [
    3.838405,
    49.403
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","-","De Condé-sur-Aisne à Pontavert","-","-","carte de navigation, plan, aménagement technique de l'eau","carte de navigation, plan, aménagement technique de l'eau, De Condé-sur-Aisne à Pontavert","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Feb 3, 2020 @ 14:00:55.000","{
  ""coordinates"": [
    4.01025,
    49.424285
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","-","L'Aisne à Neufchâtel.","-","-","carte de navigation, chemin de halage, écluse, aménagement technique de l'eau","carte de navigation, chemin de halage, écluse, aménagement technique de l'eau, L'Aisne à Neufchâtel.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Feb 3, 2020 @ 13:18:50.000","{
  ""coordinates"": [
    2.7819065,
    48.405969999999996
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","-","De Vernou à Samoreau","-","-","carte historique, plan","carte historique, plan, De Vernou à Samoreau","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Feb 3, 2020 @ 13:16:11.000","{
  ""coordinates"": [
    2.281825,
    48.90444
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","-","Seine: Levallois-Perret - Clichy","-","-","carte de navigation, occupation des sols","carte de navigation, occupation des sols, Seine: Levallois-Perret - Clichy","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Feb 3, 2020 @ 13:12:47.000","{
  ""coordinates"": [
    3.3026735,
    48.055595
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","-",France,"-","-","carte historique, canal","carte historique, canal, France","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Feb 3, 2020 @ 12:44:19.000","{
  ""coordinates"": [
    3.357705,
    49.008555
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","-","De Crouttes-sur-Marne à Fossoy","-","-","carte de navigation, écluse, barrage","carte de navigation, écluse, barrage, De Crouttes-sur-Marne à Fossoy","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Feb 3, 2020 @ 12:31:07.000","{
  ""coordinates"": [
    1.4423249999999999,
    49.123685
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","-","Seine: Pressagny-l'Orgueilleux.","-","-","carte de navigation, carte historique","carte de navigation, carte historique, Seine: Pressagny-l'Orgueilleux.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Feb 3, 2020 @ 12:27:52.000","{
  ""coordinates"": [
    3.258705,
    49.751215
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie","-","-","Oise: de Guise à Noyon","-","-","carte historique, occupation des sols","carte historique, occupation des sols, Oise: de Guise à Noyon","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
